Latitude,Longitude,Time,Temperature (°C),Humidity (%)
16.949,100.3579,2024-10-10T14:00:00+07:00,33.01,60.86
16.8165,100.3025,2024-10-10T14:00:00+07:00,32.95,59.88
16.896,100.1639,2024-10-10T14:00:00+07:00,32.93,60.93
16.9225,100.3579,2024-10-10T14:00:00+07:00,32.71,61.07
16.8165,100.1917,2024-10-10T14:00:00+07:00,32.78,61.55
16.896,100.3579,2024-10-10T14:00:00+07:00,32.9,60.98
16.8695,100.1362,2024-10-10T14:00:00+07:00,32.64,60.96
16.843,100.1917,2024-10-10T14:00:00+07:00,32.79,61.28
16.9225,100.3856,2024-10-10T14:00:00+07:00,32.81,61.84
16.896,100.3302,2024-10-10T14:00:00+07:00,32.97,60.94
16.9225,100.4133,2024-10-10T14:00:00+07:00,32.4,63.18
16.896,100.4133,2024-10-10T14:00:00+07:00,33.0,62.92
16.8695,100.3856,2024-10-10T14:00:00+07:00,32.88,61.38
16.8695,100.3579,2024-10-10T14:00:00+07:00,32.9,61.4
16.7368,100.2748,2024-10-10T14:00:00+07:00,32.84,61.6
16.843,100.3302,2024-10-10T14:00:00+07:00,32.94,60.31
16.949,100.3856,2024-10-10T14:00:00+07:00,32.7,62.26
16.8695,100.2471,2024-10-10T14:00:00+07:00,32.95,60.6
16.896,100.3025,2024-10-10T14:00:00+07:00,32.85,60.84
16.9225,100.3025,2024-10-10T14:00:00+07:00,32.76,60.8
16.843,100.3579,2024-10-10T14:00:00+07:00,32.82,61.1
16.896,100.3856,2024-10-10T14:00:00+07:00,32.89,61.42
16.9225,100.1362,2024-10-10T14:00:00+07:00,32.84,60.39
16.7634,100.1917,2024-10-10T14:00:00+07:00,32.68,62.19
16.9225,100.2748,2024-10-10T14:00:00+07:00,32.82,60.74
16.896,100.4688,2024-10-10T14:00:00+07:00,29.94,68.28
16.8695,100.3025,2024-10-10T14:00:00+07:00,32.67,61.19
16.8165,100.3302,2024-10-10T14:00:00+07:00,32.85,60.35
16.8695,100.4133,2024-10-10T14:00:00+07:00,32.4,63.17
16.949,100.4133,2024-10-10T14:00:00+07:00,31.48,65.59
16.843,100.3025,2024-10-10T14:00:00+07:00,32.97,56.3
16.9225,100.4965,2024-10-10T14:00:00+07:00,29.59,67.11
16.6838,100.2748,2024-10-10T14:00:00+07:00,32.6,62.82
16.9225,100.1639,2024-10-10T14:00:00+07:00,33.05,60.64
16.7899,100.2194,2024-10-10T14:00:00+07:00,32.77,61.74
16.9225,100.3302,2024-10-10T14:00:00+07:00,32.83,61.01
16.8695,100.2194,2024-10-10T14:00:00+07:00,33.02,57.41
16.7368,100.1917,2024-10-10T14:00:00+07:00,32.62,62.4
16.843,100.1639,2024-10-10T14:00:00+07:00,32.58,61.77
16.896,100.2194,2024-10-10T14:00:00+07:00,32.72,61.53
16.896,100.2471,2024-10-10T14:00:00+07:00,32.65,61.44
16.7634,100.1639,2024-10-10T14:00:00+07:00,32.63,62.28
16.6838,100.2471,2024-10-10T14:00:00+07:00,32.64,62.83
16.8165,100.2194,2024-10-10T14:00:00+07:00,32.87,61.29
16.843,100.2194,2024-10-10T14:00:00+07:00,32.68,61.8
16.7103,100.2194,2024-10-10T14:00:00+07:00,32.69,62.49
16.7634,100.2194,2024-10-10T14:00:00+07:00,32.65,62.22
16.896,100.1362,2024-10-10T14:00:00+07:00,32.81,60.64
16.8165,100.2471,2024-10-10T14:00:00+07:00,32.71,61.91
16.7899,100.2471,2024-10-10T14:00:00+07:00,32.82,61.69
16.7368,100.2194,2024-10-10T14:00:00+07:00,32.56,62.57
16.7899,100.1917,2024-10-10T14:00:00+07:00,32.7,61.75
16.949,100.4688,2024-10-10T14:00:00+07:00,30.93,64.97
16.6572,100.2471,2024-10-10T14:00:00+07:00,32.56,62.81
16.6838,100.2194,2024-10-10T14:00:00+07:00,32.6,62.7
16.7634,100.2748,2024-10-10T14:00:00+07:00,32.75,61.62
16.7634,100.2471,2024-10-10T14:00:00+07:00,32.9,61.08
16.8695,100.1639,2024-10-10T14:00:00+07:00,32.76,61.11
16.843,100.2748,2024-10-10T14:00:00+07:00,32.95,56.85
16.7368,100.3025,2024-10-10T14:00:00+07:00,32.69,61.81
16.896,100.2748,2024-10-10T14:00:00+07:00,32.78,61.09
16.843,100.2471,2024-10-10T14:00:00+07:00,32.97,57.51
16.7368,100.2471,2024-10-10T14:00:00+07:00,32.79,61.79
16.949,100.2194,2024-10-10T14:00:00+07:00,33.0,60.71
16.8695,100.1917,2024-10-10T14:00:00+07:00,32.65,61.59
16.9225,100.2471,2024-10-10T14:00:00+07:00,32.89,61.04
16.7899,100.3025,2024-10-10T14:00:00+07:00,32.75,60.82
16.7899,100.2748,2024-10-10T14:00:00+07:00,32.62,61.84
16.896,100.4411,2024-10-10T14:00:00+07:00,31.74,65.79
16.7103,100.2471,2024-10-10T14:00:00+07:00,32.66,62.51
16.7103,100.2748,2024-10-10T14:00:00+07:00,32.73,62.05
16.9755,100.4688,2024-10-10T14:00:00+07:00,30.51,66.67
16.8695,100.2748,2024-10-10T14:00:00+07:00,32.75,60.94
16.8165,100.2748,2024-10-10T14:00:00+07:00,32.91,57.4
16.949,100.4411,2024-10-10T14:00:00+07:00,31.4,65.71
16.9225,100.1917,2024-10-10T14:00:00+07:00,32.97,60.83
16.7103,100.3025,2024-10-10T14:00:00+07:00,32.8,61.65
16.7634,100.3025,2024-10-10T14:00:00+07:00,32.7,61.1
16.9225,100.4688,2024-10-10T14:00:00+07:00,31.1,65.29
16.8695,100.3302,2024-10-10T14:00:00+07:00,32.83,61.39
16.896,100.1917,2024-10-10T14:00:00+07:00,32.81,61.22
16.6572,100.2748,2024-10-10T14:00:00+07:00,32.45,63.11
16.9225,100.4411,2024-10-10T14:00:00+07:00,32.06,64.27
