Latitude,Longitude,Time,Temperature (°C),Humidity (%)
16.949,100.3579,2024-10-14T14:00:00+07:00,32.99,60.87
16.8165,100.3025,2024-10-14T14:00:00+07:00,33.11,59.54
16.896,100.1639,2024-10-14T14:00:00+07:00,33.29,59.26
16.9225,100.3579,2024-10-14T14:00:00+07:00,32.99,61.17
16.8165,100.1917,2024-10-14T14:00:00+07:00,33.3,59.35
16.896,100.3579,2024-10-14T14:00:00+07:00,33.06,60.88
16.8695,100.1362,2024-10-14T14:00:00+07:00,33.3,58.59
16.843,100.1917,2024-10-14T14:00:00+07:00,33.33,59.34
16.9225,100.3856,2024-10-14T14:00:00+07:00,32.83,61.39
16.896,100.3302,2024-10-14T14:00:00+07:00,33.07,60.65
16.9225,100.4133,2024-10-14T14:00:00+07:00,32.59,63.52
16.896,100.4133,2024-10-14T14:00:00+07:00,32.87,62.42
16.8695,100.3856,2024-10-14T14:00:00+07:00,33.08,61.01
16.8695,100.3579,2024-10-14T14:00:00+07:00,33.02,60.87
16.7368,100.2748,2024-10-14T14:00:00+07:00,33.24,59.67
16.843,100.3302,2024-10-14T14:00:00+07:00,33.09,59.22
16.949,100.3856,2024-10-14T14:00:00+07:00,32.78,62.33
16.8695,100.2471,2024-10-14T14:00:00+07:00,33.23,59.26
16.896,100.3025,2024-10-14T14:00:00+07:00,32.99,60.31
16.9225,100.3025,2024-10-14T14:00:00+07:00,32.88,60.27
16.843,100.3579,2024-10-14T14:00:00+07:00,33.19,60.51
16.896,100.3856,2024-10-14T14:00:00+07:00,33.04,61.4
16.9225,100.1362,2024-10-14T14:00:00+07:00,33.45,58.7
16.7634,100.1917,2024-10-14T14:00:00+07:00,33.2,59.61
16.9225,100.2748,2024-10-14T14:00:00+07:00,32.97,60.21
16.896,100.4688,2024-10-14T14:00:00+07:00,30.48,69.83
16.8695,100.3025,2024-10-14T14:00:00+07:00,33.03,59.76
16.8165,100.3302,2024-10-14T14:00:00+07:00,33.19,59.76
16.8695,100.4133,2024-10-14T14:00:00+07:00,32.52,62.0
16.949,100.4133,2024-10-14T14:00:00+07:00,31.73,65.92
16.843,100.3025,2024-10-14T14:00:00+07:00,33.33,55.1
16.9225,100.4965,2024-10-14T14:00:00+07:00,30.16,69.46
16.6838,100.2748,2024-10-14T14:00:00+07:00,32.94,60.08
16.9225,100.1639,2024-10-14T14:00:00+07:00,33.17,59.58
16.7899,100.2194,2024-10-14T14:00:00+07:00,33.17,59.87
16.9225,100.3302,2024-10-14T14:00:00+07:00,32.99,60.86
16.8695,100.2194,2024-10-14T14:00:00+07:00,33.37,55.9
16.7368,100.1917,2024-10-14T14:00:00+07:00,33.41,59.24
16.843,100.1639,2024-10-14T14:00:00+07:00,32.99,59.57
16.896,100.2194,2024-10-14T14:00:00+07:00,33.13,60.1
16.896,100.2471,2024-10-14T14:00:00+07:00,33.01,60.18
16.7634,100.1639,2024-10-14T14:00:00+07:00,33.44,59.09
16.6838,100.2471,2024-10-14T14:00:00+07:00,33.2,60.06
16.8165,100.2194,2024-10-14T14:00:00+07:00,33.35,59.49
16.843,100.2194,2024-10-14T14:00:00+07:00,33.05,60.28
16.7103,100.2194,2024-10-14T14:00:00+07:00,33.29,59.78
16.7634,100.2194,2024-10-14T14:00:00+07:00,33.2,59.84
16.896,100.1362,2024-10-14T14:00:00+07:00,33.43,58.44
16.8165,100.2471,2024-10-14T14:00:00+07:00,33.07,60.42
16.7899,100.2471,2024-10-14T14:00:00+07:00,33.28,59.74
16.7368,100.2194,2024-10-14T14:00:00+07:00,33.26,59.94
16.7899,100.1917,2024-10-14T14:00:00+07:00,33.37,59.26
16.949,100.4688,2024-10-14T14:00:00+07:00,31.23,67.46
16.6572,100.2471,2024-10-14T14:00:00+07:00,33.26,59.61
16.6838,100.2194,2024-10-14T14:00:00+07:00,33.23,59.56
16.7634,100.2748,2024-10-14T14:00:00+07:00,33.27,59.67
16.7634,100.2471,2024-10-14T14:00:00+07:00,33.33,59.08
16.8695,100.1639,2024-10-14T14:00:00+07:00,33.3,59.13
16.843,100.2748,2024-10-14T14:00:00+07:00,33.27,55.39
16.7368,100.3025,2024-10-14T14:00:00+07:00,33.13,59.91
16.896,100.2748,2024-10-14T14:00:00+07:00,32.98,60.23
16.843,100.2471,2024-10-14T14:00:00+07:00,33.17,56.34
16.7368,100.2471,2024-10-14T14:00:00+07:00,33.17,59.67
16.949,100.2194,2024-10-14T14:00:00+07:00,33.1,60.11
16.8695,100.1917,2024-10-14T14:00:00+07:00,33.09,59.85
16.9225,100.2471,2024-10-14T14:00:00+07:00,33.04,60.27
16.7899,100.3025,2024-10-14T14:00:00+07:00,33.11,59.51
16.7899,100.2748,2024-10-14T14:00:00+07:00,33.02,60.29
16.896,100.4411,2024-10-14T14:00:00+07:00,31.7,64.94
16.7103,100.2471,2024-10-14T14:00:00+07:00,33.17,60.08
16.7103,100.2748,2024-10-14T14:00:00+07:00,33.1,59.79
16.9755,100.4688,2024-10-14T14:00:00+07:00,30.88,68.33
16.8695,100.2748,2024-10-14T14:00:00+07:00,33.11,59.48
16.8165,100.2748,2024-10-14T14:00:00+07:00,33.12,56.37
16.949,100.4411,2024-10-14T14:00:00+07:00,31.6,66.87
16.9225,100.1917,2024-10-14T14:00:00+07:00,33.14,59.78
16.7103,100.3025,2024-10-14T14:00:00+07:00,33.25,59.48
16.7634,100.3025,2024-10-14T14:00:00+07:00,33.19,59.44
16.9225,100.4688,2024-10-14T14:00:00+07:00,31.3,66.0
16.8695,100.3302,2024-10-14T14:00:00+07:00,33.03,60.1
16.896,100.1917,2024-10-14T14:00:00+07:00,33.16,59.74
16.6572,100.2748,2024-10-14T14:00:00+07:00,33.01,59.96
16.9225,100.4411,2024-10-14T14:00:00+07:00,32.15,64.98
