Latitude,Longitude,Time,Temperature (°C),Humidity (%)
16.949,100.3579,2024-10-08T14:00:00+07:00,33.15,57.99
16.8165,100.3025,2024-10-08T14:00:00+07:00,32.92,56.61
16.896,100.1639,2024-10-08T14:00:00+07:00,33.03,56.74
16.9225,100.3579,2024-10-08T14:00:00+07:00,33.06,58.2
16.8165,100.1917,2024-10-08T14:00:00+07:00,32.07,55.53
16.896,100.3579,2024-10-08T14:00:00+07:00,33.06,57.98
16.8695,100.1362,2024-10-08T14:00:00+07:00,32.52,54.61
16.843,100.1917,2024-10-08T14:00:00+07:00,32.51,54.9
16.9225,100.3856,2024-10-08T14:00:00+07:00,32.99,58.58
16.896,100.3302,2024-10-08T14:00:00+07:00,33.09,57.68
16.9225,100.4133,2024-10-08T14:00:00+07:00,32.49,59.75
16.896,100.4133,2024-10-08T14:00:00+07:00,32.72,58.66
16.8695,100.3856,2024-10-08T14:00:00+07:00,33.09,58.44
16.8695,100.3579,2024-10-08T14:00:00+07:00,33.08,58.1
16.7368,100.2748,2024-10-08T14:00:00+07:00,32.54,56.04
16.843,100.3302,2024-10-08T14:00:00+07:00,33.13,57.38
16.949,100.3856,2024-10-08T14:00:00+07:00,32.71,58.33
16.8695,100.2471,2024-10-08T14:00:00+07:00,33.15,56.89
16.896,100.3025,2024-10-08T14:00:00+07:00,32.97,57.52
16.9225,100.3025,2024-10-08T14:00:00+07:00,32.95,57.68
16.843,100.3579,2024-10-08T14:00:00+07:00,33.11,58.16
16.896,100.3856,2024-10-08T14:00:00+07:00,33.11,58.57
16.9225,100.1362,2024-10-08T14:00:00+07:00,33.05,55.86
16.7634,100.1917,2024-10-08T14:00:00+07:00,33.09,56.72
16.9225,100.2748,2024-10-08T14:00:00+07:00,32.94,57.49
16.896,100.4688,2024-10-08T14:00:00+07:00,30.36,66.01
16.8695,100.3025,2024-10-08T14:00:00+07:00,33.11,56.76
16.8165,100.3302,2024-10-08T14:00:00+07:00,33.2,57.53
16.8695,100.4133,2024-10-08T14:00:00+07:00,32.5,59.4
16.949,100.4133,2024-10-08T14:00:00+07:00,31.72,61.72
16.843,100.3025,2024-10-08T14:00:00+07:00,33.34,52.98
16.9225,100.4965,2024-10-08T14:00:00+07:00,30.18,65.07
16.6838,100.2748,2024-10-08T14:00:00+07:00,32.27,56.59
16.9225,100.1639,2024-10-08T14:00:00+07:00,32.87,57.2
16.7899,100.2194,2024-10-08T14:00:00+07:00,32.6,56.28
16.9225,100.3302,2024-10-08T14:00:00+07:00,33.04,57.95
16.8695,100.2194,2024-10-08T14:00:00+07:00,33.3,53.53
16.7368,100.1917,2024-10-08T14:00:00+07:00,32.71,56.52
16.843,100.1639,2024-10-08T14:00:00+07:00,32.47,55.28
16.896,100.2194,2024-10-08T14:00:00+07:00,33.1,57.5
16.896,100.2471,2024-10-08T14:00:00+07:00,32.96,57.54
16.7634,100.1639,2024-10-08T14:00:00+07:00,33.0,56.72
16.6838,100.2471,2024-10-08T14:00:00+07:00,32.49,57.11
16.8165,100.2194,2024-10-08T14:00:00+07:00,32.53,55.27
16.843,100.2194,2024-10-08T14:00:00+07:00,32.71,56.39
16.7103,100.2194,2024-10-08T14:00:00+07:00,32.76,57.12
