Latitude,Longitude,Time,Temperature (°C),Humidity (%)
16.949,100.3579,2024-10-15T14:00:00+07:00,33.46,60.99
16.8165,100.3025,2024-10-15T14:00:00+07:00,33.35,59.51
16.896,100.1639,2024-10-15T14:00:00+07:00,33.8,58.64
16.9225,100.3579,2024-10-15T14:00:00+07:00,33.23,60.69
16.8165,100.1917,2024-10-15T14:00:00+07:00,33.65,58.92
16.896,100.3579,2024-10-15T14:00:00+07:00,33.39,60.83
16.8695,100.1362,2024-10-15T14:00:00+07:00,33.44,58.25
16.843,100.1917,2024-10-15T14:00:00+07:00,33.79,58.93
16.9225,100.3856,2024-10-15T14:00:00+07:00,33.31,62.19
16.896,100.3302,2024-10-15T14:00:00+07:00,33.56,60.45
16.9225,100.4133,2024-10-15T14:00:00+07:00,32.8,63.73
16.896,100.4133,2024-10-15T14:00:00+07:00,33.1,62.62
16.8695,100.3856,2024-10-15T14:00:00+07:00,33.41,60.97
16.8695,100.3579,2024-10-15T14:00:00+07:00,33.36,60.79
16.7368,100.2748,2024-10-15T14:00:00+07:00,33.58,59.54
16.843,100.3302,2024-10-15T14:00:00+07:00,33.46,60.04
16.949,100.3856,2024-10-15T14:00:00+07:00,33.19,63.04
16.8695,100.2471,2024-10-15T14:00:00+07:00,33.68,58.98
16.896,100.3025,2024-10-15T14:00:00+07:00,33.52,60.0
16.9225,100.3025,2024-10-15T14:00:00+07:00,33.49,60.09
16.843,100.3579,2024-10-15T14:00:00+07:00,33.51,60.44
16.896,100.3856,2024-10-15T14:00:00+07:00,33.41,61.79
16.9225,100.1362,2024-10-15T14:00:00+07:00,33.76,57.92
16.7634,100.1917,2024-10-15T14:00:00+07:00,33.62,59.34
16.9225,100.2748,2024-10-15T14:00:00+07:00,33.5,59.77
16.896,100.4688,2024-10-15T14:00:00+07:00,30.65,68.91
16.8695,100.3025,2024-10-15T14:00:00+07:00,33.64,59.41
16.8165,100.3302,2024-10-15T14:00:00+07:00,33.57,59.72
16.8695,100.4133,2024-10-15T14:00:00+07:00,33.04,63.35
16.949,100.4133,2024-10-15T14:00:00+07:00,32.08,66.21
16.843,100.3025,2024-10-15T14:00:00+07:00,33.77,55.6
16.9225,100.4965,2024-10-15T14:00:00+07:00,30.38,69.04
16.6838,100.2748,2024-10-15T14:00:00+07:00,33.4,60.09
16.9225,100.1639,2024-10-15T14:00:00+07:00,33.76,58.89
16.7899,100.2194,2024-10-15T14:00:00+07:00,33.57,59.49
16.9225,100.3302,2024-10-15T14:00:00+07:00,33.53,60.72
16.8695,100.2194,2024-10-15T14:00:00+07:00,33.77,55.67
16.7368,100.1917,2024-10-15T14:00:00+07:00,33.79,59.08
16.843,100.1639,2024-10-15T14:00:00+07:00,33.57,59.17
16.896,100.2194,2024-10-15T14:00:00+07:00,33.69,59.4
16.896,100.2471,2024-10-15T14:00:00+07:00,33.43,59.78
16.7634,100.1639,2024-10-15T14:00:00+07:00,33.79,59.04
16.6838,100.2471,2024-10-15T14:00:00+07:00,33.49,59.98
16.8165,100.2194,2024-10-15T14:00:00+07:00,33.69,59.22
16.843,100.2194,2024-10-15T14:00:00+07:00,33.19,59.5
16.7103,100.2194,2024-10-15T14:00:00+07:00,33.67,59.63
16.7634,100.2194,2024-10-15T14:00:00+07:00,33.71,59.39
16.896,100.1362,2024-10-15T14:00:00+07:00,33.74,57.98
16.8165,100.2471,2024-10-15T14:00:00+07:00,33.07,59.62
16.7899,100.2471,2024-10-15T14:00:00+07:00,33.66,59.43
16.7368,100.2194,2024-10-15T14:00:00+07:00,33.64,59.69
16.7899,100.1917,2024-10-15T14:00:00+07:00,33.79,58.91
16.949,100.4688,2024-10-15T14:00:00+07:00,31.28,66.47
16.6572,100.2471,2024-10-15T14:00:00+07:00,33.39,59.73
16.6838,100.2194,2024-10-15T14:00:00+07:00,33.6,59.59
16.7634,100.2748,2024-10-15T14:00:00+07:00,33.64,59.47
16.7634,100.2471,2024-10-15T14:00:00+07:00,33.66,58.78
16.8695,100.1639,2024-10-15T14:00:00+07:00,33.71,58.65
16.843,100.2748,2024-10-15T14:00:00+07:00,33.81,55.14
16.7368,100.3025,2024-10-15T14:00:00+07:00,33.58,59.74
16.896,100.2748,2024-10-15T14:00:00+07:00,33.47,59.82
16.843,100.2471,2024-10-15T14:00:00+07:00,33.44,55.93
16.7368,100.2471,2024-10-15T14:00:00+07:00,33.6,59.43
16.949,100.2194,2024-10-15T14:00:00+07:00,33.7,59.42
16.8695,100.1917,2024-10-15T14:00:00+07:00,33.51,59.29
16.9225,100.2471,2024-10-15T14:00:00+07:00,33.46,59.82
16.7899,100.3025,2024-10-15T14:00:00+07:00,33.63,59.08
16.7899,100.2748,2024-10-15T14:00:00+07:00,33.28,59.91
16.896,100.4411,2024-10-15T14:00:00+07:00,32.01,65.36
16.7103,100.2471,2024-10-15T14:00:00+07:00,33.55,59.87
16.7103,100.2748,2024-10-15T14:00:00+07:00,33.55,59.64
16.9755,100.4688,2024-10-15T14:00:00+07:00,30.75,66.87
16.8695,100.2748,2024-10-15T14:00:00+07:00,33.5,59.09
16.8165,100.2748,2024-10-15T14:00:00+07:00,33.47,56.27
16.949,100.4411,2024-10-15T14:00:00+07:00,31.61,65.86
16.9225,100.1917,2024-10-15T14:00:00+07:00,33.63,59.18
16.7103,100.3025,2024-10-15T14:00:00+07:00,33.69,59.42
16.7634,100.3025,2024-10-15T14:00:00+07:00,33.54,59.25
16.9225,100.4688,2024-10-15T14:00:00+07:00,31.33,65.02
16.8695,100.3302,2024-10-15T14:00:00+07:00,33.49,60.31
16.896,100.1917,2024-10-15T14:00:00+07:00,33.55,59.17
